SERVICE,COMPONENT / USE CASE IN THIS PROJECT,PLAN / TIER,UNIT COST,PER 1000 KEYWORDS (LOW),PER 1000 KEYWORDS (HIGH),PER 1000 KEYWORDS (NOTES),MONTHLY ESTIMATE (5K KW),MONTHLY ESTIMATE (20K KW),CURRENT STATUS IN PROJECT
,,,,,,,,,,

=== INFRASTRUCTURE ===,,,,,,,,,,

AWS EC2,Run Docker container (FastAPI + Chrome + Selenium),t3.medium (2 vCPU / 4GB RAM),$0.0416/hr,$0,$0,Fixed cost — does not scale with keyword count,$30,$30,Used — Dockerfile present in /backend/
AWS EC2,Run Docker container (FastAPI + Chrome + Selenium),t3.large (2 vCPU / 8GB RAM) — recommended for Selenium,$0.0832/hr,$0,$0,Fixed cost — does not scale with keyword count,$60,$60,Recommended if Chrome crashes
AWS EC2,Data transfer out (results / API responses),Pay-per-GB,$0.09/GB,~$0,~$0.50,Negligible for this use case,~$1,~$3,Active
AWS EC2 EBS,Storage for Docker image + datasets,gp3 30GB,$0.08/GB/mo,$0,$0,Fixed,~$2.50,$2.50,Active

Supabase (Postgres),Database — stores all keywords / categories / clusters / ranks / jobs / pages / competitors,Free tier (500MB / 50K rows),$0,$0,$0,Free up to 50K rows,FREE,FREE,Active — used heavily
Supabase (Postgres),Database — if exceeding free tier,Pro plan,$25/mo,$0,$0,Fixed cost,$25,$25,Future — upgrade when >50K rows
Upstash Redis,Previously used as RQ job queue — now removed per branch feature/remove-vercel,Serverless,$0.2/100K commands,$0,$0,No longer used in current branch,REMOVED,REMOVED,NOT IN USE (removed)

,,,,,,,,,,
=== SERP / WEB SCRAPING ===,,,,,,,,,,

Bright Data SERP Zone,Category pipeline — fetches top-3 organic titles per keyword to derive category name (category_checker.py),SERP API zone — Pay-per-GB,$1.50-3.00/GB,~$0.75,~$1.50,"~1 request/keyword, ~50-100KB per response",$3.75,$15,ACTIVE — used in every category job
Bright Data SERP Zone,Rank checker — fetches top-40 organic results per keyword (rank_checker.py) — up to 4 SERP pages per keyword,SERP API zone — Pay-per-GB,$1.50-3.00/GB,~$3.00,~$6.00,"~4 requests/keyword for top-40 check, larger pages",$15,$60,ACTIVE — used in every rank check job
Bright Data SERP Zone,Competitor analysis (comp_analysis.py) — additional SERP fetches for competitor discovery,SERP API zone — Pay-per-GB,$1.50-3.00/GB,~$0.50,~$1.50,Optional feature — not always triggered,$2.50,$10,ACTIVE when competitor discovery is run
Bright Data TOTAL,All SERP fetches combined (category + rank + comp),,,$4.25,$9.00,Combined estimate for all 3 pipelines,$21.25,$85,Current API key in .env

Firecrawl,Alternative SERP scraper — used in firecrawl_scraper.py as experimental replacement for Bright Data,Hobby plan,$16/mo (3000 credits) or $83/mo (100K credits),~$5.33,~$16,"$16/1000 on Hobby, drops to $0.83/1000 on Scale",$26.65,$106.4,EXPERIMENTAL — firecrawl_scraper.py exists in /scripts/. Not in main pipeline yet.
Crawl4AI,Open-source web crawler — crawl4ai_scraper.py — self-hosted on same EC2 instance,Self-hosted / Free,$0,$0,$0,Free — runs on EC2. No extra cost if EC2 is already running,$0,$0,EXPERIMENTAL — crawl4ai_scraper.py exists in /scripts/. Not in main pipeline yet.

